0.789003,-70,387,322,-76,82,7901,1026,-154,-2233
0.790672,-73,377,313,-74,101,7893,996,-120,-2223
0.794026,-73,377,313,-67,96,7893,996,-120,-2223
0.795619,-67,372,307,-67,96,7918,996,-120,-2223
0.797168,-65,391,308,-65,82,7923,1029,-142,-2211
0.800253,-73,386,315,-72,90,7883,1029,-142,-2211
0.801879,-83,375,307,-56,91,7896,1029,-142,-2211
0.803576,-98,367,302,-57,83,7905,1027,-122,-2230
0.805119,-77,378,314,-85,78,7903,1027,-122,-2230
0.808449,-51,389,324,-68,80,7909,1027,-122,-2230
0.809744,-76,384,342,-58,87,7884,1021,-131,-2229
0.811344,-83,381,332,-61,86,7876,1021,-131,-2229
0.812933,-73,384,309,-66,76,7901,1021,-131,-2229
0.816031,-76,391,295,-84,90,7903,1007,-172,-2233
0.817614,-77,382,299,-62,77,7886,1007,-172,-2233
0.819169,-83,366,311,-69,84,7871,1007,-172,-2233
0.820758,-93,374,320,-55,78,7894,1025,-171,-2186
0.823856,-90,389,314,-74,71,7893,1025,-171,-2186
0.827298,-75,389,313,-63,81,7913,1025,-171,-2186
0.828874,-66,381,325,-60,88,7892,1006,-182,-2209
0.830565,-65,384,323,-67,77,7883,1006,-182,-2209
0.832195,-70,379,325,-72,81,7903,1006,-182,-2209
0.833907,-77,376,327,-71,94,7913,994,-143,-2247
0.837020,-87,380,314,-70,96,7883,994,-143,-2247
0.838740,-62,387,307,-73,76,7893,994,-143,-2247
0.840555,-62,387,307,-69,94,7893,994,-143,-2247
0.843264,-78,384,307,-69,94,7914,1012,-150,-2233
0.844825,-65,376,311,-65,86,7914,1012,-150,-2233
0.846499,-90,380,312,-68,80,7924,1012,-150,-2233
0.848076,-78,385,321,-61,90,7879,988,-102,-2226
0.851333,-82,399,326,-59,104,7918,988,-102,-2226
0.852953,-79,398,314,-53,93,7908,988,-102,-2226
0.854844,-79,386,303,-70,77,7907,1032,-130,-2239
0.857355,-74,376,317,-75,79,7894,1032,-130,-2239
0.858958,-68,380,308,-71,92,7892,1032,-130,-2239
0.862416,-72,374,299,-68,95,7899,1034,-115,-2227
0.863994,-71,388,303,-67,76,7904,1034,-115,-2227
0.865722,-69,383,303,-60,79,7902,1034,-115,-2227
0.867496,-82,388,317,-51,85,7884,1013,-121,-2253
0.869491,-80,385,305,-62,104,7909,1013,-121,-2253
0.871202,-68,393,306,-79,83,7910,1013,-121,-2253
0.874289,-52,411,299,-79,73,7900,1020,-159,-2236
0.875855,-64,389,291,-78,79,7902,1020,-159,-2236
0.877547,-78,390,320,-80,83,7890,1020,-159,-2236
0.879091,-77,401,316,-73,87,7906,1006,-126,-2231
0.882406,-78,391,310,-66,83,7918,1006,-126,-2231
0.883947,-70,386,318,-62,77,7892,1006,-126,-2231
0.887121,-69,394,328,-69,101,7902,982,-113,-2233
0.888810,-69,394,322,-77,89,7919,982,-113,-2233
0.890501,-54,393,322,-77,89,7919,982,-113,-2233
